date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-27 01:45:00,7.68,7.48,0.0,0.0,4.3,19.5
2011-08-27 02:00:00,7.72,7.46,0.0,0.0,5.3,19.9
2011-08-27 02:15:00,7.64,7.45,0.0,0.0,4.8,21.3
2011-08-27 02:30:00,7.72,7.41,0.0,0.0,6.6,17.3
2011-08-27 02:45:00,7.74,7.4,0.0,0.0,5.9,24.9
2011-08-27 03:00:00,7.71,7.37,0.0,0.0,5.4,22.4
2011-08-27 03:15:00,7.74,7.32,0.0,0.0,6.1,22.7
2011-08-27 03:30:00,7.67,7.31,0.0,0.0,5.6,22.0
2011-08-27 03:45:00,7.71,7.33,0.0,0.0,5.7,20.1
2011-08-27 04:00:00,7.66,7.25,0.0,0.0,5.0,25.3
2011-08-27 04:15:00,7.73,7.2,0.0,0.0,4.7,22.2
2011-08-27 04:30:00,7.74,7.28,0.0,0.0,4.8,25.4
2011-08-27 04:45:00,7.8,7.29,0.0,0.0,4.4,24.1
2011-08-27 05:00:00,7.74,7.22,0.0,0.0,4.4,23.8
2011-08-27 05:15:00,7.75,7.28,0.0,0.0,5.0,26.4
2011-08-27 05:30:00,7.72,7.16,0.0,0.0,5.1,21.7
2011-08-27 05:45:00,7.73,7.17,0.0,0.0,4.8,22.2
2011-08-27 06:00:00,7.72,7.15,0.0,0.0,5.2,22.7
2011-08-27 06:15:00,7.72,7.1,0.0,0.0,5.5,21.0
2011-08-27 06:30:00,7.7,7.26,0.0,0.0,5.5,24.5
2011-08-27 06:45:00,7.67,7.22,0.0,0.0,5.2,19.7
2011-08-27 07:00:00,7.74,7.3,0.0,0.0,4.9,23.4
2011-08-27 07:15:00,7.71,7.36,0.0,0.0,4.5,27.2
2011-08-27 07:30:00,7.48,7.38,0.0,0.0,4.2,23.0
2011-08-27 07:45:00,7.68,7.45,0.0,0.0,4.7,18.4
2011-08-27 08:00:00,7.7,7.48,0.0,0.0,4.6,18.8
2011-08-27 08:15:00,7.7,7.27,0.0,0.0,4.3,19.0
2011-08-27 08:30:00,7.71,7.37,0.0,0.0,5.0,26.7
2011-08-27 08:45:00,7.64,7.42,0.0,0.0,5.0,525.3
2011-08-27 09:00:00,7.7,7.47,0.0,0.0,5.3,18.2
2011-08-27 09:15:00,7.73,7.53,0.0,0.0,4.4,18.1
2011-08-27 09:30:00,7.68,7.46,0.0,0.0,5.8,18.1
2011-08-27 09:45:00,7.8,7.48,0.0,0.0,6.4,18.6
2011-08-27 10:00:00,7.82,7.47,0.0,0.0,5.2,18.3
2011-08-27 10:15:00,7.89,7.44,0.0,0.0,5.8,16.2
2011-08-27 10:30:00,7.99,7.48,0.0,0.0,4.8,18.0
2011-08-27 10:45:00,7.97,7.5,0.0,0.0,5.1,16.6
2011-08-27 11:00:00,7.98,7.53,0.0,0.0,5.4,24.7
2011-08-27 11:15:00,8.04,7.56,0.0,0.0,4.7,20.0
2011-08-27 11:30:00,8.06,7.61,0.0,0.0,4.0,17.0
2011-08-27 11:45:00,8.0,7.62,0.0,0.0,4.0,20.7
2011-08-27 12:00:00,7.93,7.62,0.0,0.0,4.6,21.6
2011-08-27 12:15:00,7.97,7.68,0.0,0.0,4.3,27.2
2011-08-27 12:30:00,7.83,7.57,0.0,0.0,4.2,67.9
2011-08-27 12:45:00,7.87,7.51,0.0,0.0,3.9,22.6
2011-08-27 13:00:00,7.81,7.3,0.0,0.0,6.0,16.7
2011-08-27 13:15:00,7.81,7.2,0.0,0.0,6.1,22.1
2011-08-27 13:30:00,7.78,7.5,0.0,0.0,6.5,21.1
2011-08-27 13:45:00,7.73,7.59,0.0,0.01,5.1,19.3
2011-08-27 14:00:00,7.81,7.58,0.0,0.12,5.4,20.4
2011-08-27 14:15:00,7.92,7.64,0.0,0.12,5.0,22.7
2011-08-27 14:30:00,7.87,7.76,0.0,0.13,5.0,19.1
2011-08-27 14:45:00,7.94,7.79,0.0,0.18,4.7,19.5
2011-08-27 15:00:00,7.95,7.69,0.0,0.339999,4.9,21.3
